no,eclipse,ours
1661,115,1863
1662,88,154
1663,127,117
1664,129,422
1665,116,26185
1666,163,47
1667,138,125
1668,123,133
1669,128,2193
1670,92,363
1671,94,123
1672,127,200
1673,93,134
1674,95,95
1675,120,120
1676,115,252
1677,92,151
1678,92,240
1679,122,172
1680,123,377
1681,122,686
1682,119,565
1683,119,728
1684,122,499
1685,94,326
1686,93,420
1687,122,285
1688,91,672
1689,120,1569
1690,119,471
1691,94,268
1692,104,352
1693,116,442
1694,117,213
1695,120,262
1696,94,279
1697,123,248
1698,128,1695
1699,91,129
1700,114,5221
1701,95,137
1702,91,244
1703,112,136
1704,107,180
1705,80,84
1706,83,286
1707,89,393
1708,83,89
1709,86,104
1710,81,230
1711,111,180
1712,118,118
1713,92,92
1714,147,177
1715,113,87
1716,129,299
1717,119,112
1718,112,73
1719,118,137
1720,124,124
1721,102,102
1722,114,540
1723,89,89
1724,151,218
1725,126,203
1726,88,88
1727,110,110
1728,138,138
1729,111,111
1730,96,158
1731,87,263
1732,114,229
1733,104,90
1734,86,71
1735,72,71
1736,84,55
1737,107,179
1738,116,173
1739,87,55
1740,79,47
1741,80,350
1742,86,109
1743,83,345
1744,92,64
1745,116,355
1746,111,64
1747,86,82
1748,116,201
1749,119,183
1750,123,55
1751,83,37
1752,82,37
1753,142,43
1754,81,54
1755,110,46
1756,82,45
1757,83,38
1758,122,50
1759,81,321
1760,76,338
1761,85,85
1762,83,83
1763,115,115
1764,144,144
1765,112,112
1766,109,95
1767,106,106
1768,124,270
1769,77,77
1770,84,84
1771,112,220
1772,83,105
1773,80,80
1774,109,109
1775,146,111
1776,115,279
1777,134,150
1778,78,78
1779,82,135
1780,107,107
1781,112,97
1782,125,102
1783,106,106
1784,85,36
1785,91,91
1786,152,152
1787,91,50
1788,145,145
1789,87,87
1790,119,119
1791,165,219
1792,126,690
1793,89,366
1794,145,488
1795,127,489
1796,107,347
1797,107,250
1798,110,1280
1799,131,292
1800,130,578
1801,123,590
1802,100,498
1803,104,654
1804,154,638
1805,99,514
1806,104,704
1807,99,645
1808,130,251
1809,100,1228
1810,127,463
1811,123,70
1812,138,572
1813,131,595
1814,105,514
1815,126,126
1816,138,138
1817,130,93
1818,130,130
1819,143,143
1820,134,366
1821,106,106
1822,129,129
1823,160,511
1824,127,198
1825,137,137
1826,134,134
1827,137,137
1828,135,135
1829,131,131
1830,132,132
1831,136,352
1832,130,130
1833,128,2035
1834,137,280
1835,136,437
1836,139,139
1837,139,139
1838,136,136
1839,138,138
1840,132,132
1841,139,139
1842,133,88
1843,129,263
1844,128,128
1845,140,140
1846,121,121
1847,135,135
1848,130,130
1849,136,2012
1850,135,748
1851,135,92
1852,151,91
1853,143,143
1854,110,110
1855,125,125
1856,129,129
1857,131,772
1858,140,109
1859,95,262
1860,123,75
1861,116,116
1862,99,134
1863,120,58
1864,122,113
1865,95,154
1866,121,121
1867,95,134
1868,119,68
1869,118,118
1870,135,57
1871,92,92
1872,161,161
1873,135,55
1874,127,54
1875,105,56
1876,130,257
1877,146,74
1878,124,124
1879,135,289
1880,133,133
1881,131,131
1882,119,119
1883,97,97
1884,126,316
1885,97,69
1886,124,70
1887,134,72
1888,99,99
1889,130,68
1890,96,72
1891,141,160
1892,121,111
1893,164,318
1894,141,1071
1895,148,179
1896,151,178
1897,149,207
1898,157,188
1899,166,188
1900,158,133
1901,144,180
1902,161,822
1903,144,433
1904,145,177
1905,140,1170
1906,158,131
1907,148,174
1908,140,176
1909,155,338
1910,136,258
1911,151,231
1912,160,426
1913,160,427
1914,164,381
1915,149,176
1916,156,127
1917,149,128
1918,146,369
1919,147,177
1920,148,257
1921,159,386
1922,173,247
1923,162,256
1924,140,152
1925,148,204
1926,162,237
1927,148,182
1928,165,258
1929,162,190
1930,171,719
1931,228,262
1932,162,162
1933,149,358
1934,153,153
1935,144,226
1936,150,299
1937,148,454
1938,162,301
1939,159,366
1940,144,709
1941,146,147
1942,151,199
1943,152,305
1944,171,510
1945,155,207
1946,173,242
1947,151,275
1948,158,312
1949,157,237
1950,159,402
1951,170,293
1952,166,160
1953,166,212
1954,166,166
1955,140,140
1956,152,150
1957,147,147
1958,152,241
1959,143,143
1960,155,329
1961,154,237
1962,164,386
1963,163,163
1964,154,154
1965,154,154
1966,159,159
1967,163,360
1968,175,185
1969,155,301
1970,157,149
1971,155,151
1972,158,160
1973,152,155
1974,156,149
1975,146,149
1976,148,653
1977,152,180
1978,148,148
1979,151,289
1980,145,324
1981,148,393
1982,157,416
1983,154,690
1984,148,145
1985,156,195
1986,143,270
1987,155,331
1988,157,271
1989,157,203
1990,159,397
1991,149,305
1992,162,239
1993,163,147
1994,162,145
1995,153,213
1996,161,184
1997,146,217
1998,156,156
1999,149,149
2000,157,157
2001,149,149
2002,139,629
2003,118,603
2004,143,204
2005,129,328
2006,162,142
2007,183,135
2008,159,1118
2009,163,593
2010,155,345
2011,157,397
2012,146,247
2013,173,486
2014,158,413
2015,139,476
2016,160,480
2017,149,340
2018,166,308
2019,168,347
2020,166,322
2021,163,292
2022,173,265
2023,158,112
2024,152,107
2025,166,136
2026,154,288
2027,164,109
2028,179,145
2029,144,396
2030,150,417
2031,160,259
2032,137,137
2033,98,150
2034,123,116
2035,124,72
2036,141,72
2037,141,306
2038,141,73
2039,108,67
2040,126,369
2041,105,216
2042,107,179
2043,143,143
2044,102,102
2045,161,161
2046,110,110
2047,160,255
2048,136,277
2049,127,170
2050,138,68
2051,125,75
2052,137,226
2053,107,107
2054,124,124
2055,131,120
2056,101,154
2057,143,68
2058,133,75
2059,133,133
2060,131,131
2061,130,125
2062,138,162
2063,140,117
2064,147,147
2065,124,66
2066,142,69
2067,143,143
2068,109,67
2069,124,67
2070,130,234
2071,131,100
2072,145,59
2073,99,59
2074,161,61
2075,94,94
2076,155,55
2077,129,58
2078,129,81
2079,100,97
2080,126,57
2081,131,131
2082,131,54
2083,93,58
2084,129,129
2085,122,74
2086,127,127
2087,122,59
2088,123,143
2089,126,57
2090,121,121
2091,142,56
2092,96,96
2093,157,351
2094,126,56
2095,100,100
2096,151,120
2097,129,59
2098,96,64
