no,eclipse,ours
1896,207,221
1897,231,436
1898,215,305
1899,209,10676
1900,203,359
1901,202,6682
1902,195,908
1903,192,1403
1904,209,1296
1905,196,3629
1906,219,4402
1907,218,6149
1908,207,2697
1909,213,221
1910,211,301
1911,200,5011
1912,195,919
1913,194,6125
1914,199,271
1915,202,6642
1916,196,360
1917,212,4764
1918,197,758
1919,381,1812
1920,226,2419
1921,205,842
1922,210,906
1923,234,742
1924,223,299
1925,222,250
1926,194,166
1927,233,358
1928,270,3940
1929,229,3709
1930,234,399
1931,220,2073
1932,207,333
1933,199,1920
1934,222,307
1935,261,176
1936,229,397
1937,219,613
1938,229,168
1939,221,492
1940,205,618
1941,206,2802
1942,211,1488
1943,212,1415
1944,217,277
1945,216,216
1946,202,202
1947,214,850
1948,237,237
1949,229,281
1950,198,277
1951,210,639
1952,211,211
1953,205,500
1954,208,254
1955,217,327
1956,216,484
1957,222,361
1958,217,307
1959,225,3558
1960,252,335
1961,239,1165
1962,251,436
1963,154,154
1964,140,140
1965,146,146
1966,142,142
1967,154,163
1968,165,417
1969,153,273
1970,143,265
1971,144,1203
1972,161,292
1973,161,115
1974,161,130
1975,183,873
1976,155,2490
1977,139,189
1978,144,175
1979,118,172
1980,146,128
1981,144,131
1982,136,157
1983,152,157
1984,149,125
1985,136,113
1986,124,155
1987,147,126
1988,143,176
1989,144,116
1990,140,110
1991,146,138
1992,206,178
1993,146,163
1994,155,1218
1995,137,105
1996,150,1802
1997,137,458
1998,149,1154
1999,133,133
2000,152,1159
2001,141,1132
2002,149,1713
2003,145,145
2004,150,1111
2005,168,141
2006,158,247
2007,157,157
2008,202,202
2009,178,178
2010,203,314
2011,186,449
2012,185,496
2013,197,322
2014,197,410
2015,199,391
2016,183,323
2017,248,261
2018,198,198
2019,195,237
2020,176,279
2021,176,262
2022,213,492
2023,212,539
2024,188,360
2025,279,405
2026,181,455
2027,193,432
2028,182,330
2029,181,283
2030,195,352
2031,176,148
2032,187,232
2033,207,4893
2034,184,270
2035,194,242
2036,241,244
2037,179,455
2038,187,403
2039,201,356
2040,209,1102
2041,178,2264
2042,202,623
2043,190,239
2044,183,236
2045,222,245
2046,196,877
2047,191,282
2048,179,353
2049,194,251
2050,185,559
2051,193,253
2052,206,518
2053,270,253
2054,200,3119
2055,193,870
2056,189,1898
2057,178,826
2058,210,236
2059,204,249
2060,216,2568
2061,265,282
2062,198,372
2063,207,401
2064,200,396
2065,208,377
2066,209,332
2067,243,499
2068,197,337
2069,199,358
2070,241,362
2071,187,361
2072,183,328
2073,203,591
2074,203,2880
2075,203,516
2076,220,120
2077,188,264
2078,406,11910
2079,203,238
2080,273,3637
2081,264,1064
2082,238,261
2083,192,375
2084,206,1322
2085,213,266
2086,201,1055
2087,204,221
2088,192,275
2089,221,273
2090,197,277
2091,203,256
2092,243,260
2093,203,255
2094,212,279
2095,162,162
2096,168,168
2097,201,201
